age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
39,5,77516,9,4,0,1,4,1,2174,0,40,38,0
50,4,83311,9,2,3,0,4,1,0,0,15,38,0
38,2,215646,5,0,5,1,4,1,0,0,40,38,0
53,2,234721,3,2,5,0,2,1,0,0,40,38,0
28,2,338409,9,2,9,5,2,0,0,0,40,4,0
37,2,284582,10,2,3,5,4,0,0,0,40,38,0
49,2,160187,1,3,7,1,2,0,0,0,16,22,0
52,4,209642,5,2,3,0,4,1,0,0,45,38,1
31,2,45781,10,4,9,1,4,0,8614,0,50,38,1
42,2,159449,9,2,3,0,4,1,5178,0,40,38,1
37,2,280464,6,2,3,0,2,1,0,0,70,38,1
30,5,141297,9,2,9,0,1,1,0,0,40,18,1
23,2,122272,9,4,0,3,4,0,0,0,30,38,0
32,2,205019,8,4,11,1,2,1,0,0,50,38,0
34,2,245487,0,2,13,0,0,1,0,0,45,25,0
25,4,176756,5,4,4,3,4,1,0,0,35,38,0
32,2,186824,5,4,6,4,4,1,0,0,40,38,0
38,2,32372,3,2,11,0,4,1,0,0,50,38,0
43,4,292175,10,0,3,4,4,0,0,0,45,38,1
40,2,193524,11,2,9,0,4,1,0,0,60,38,1
54,2,302146,5,5,7,4,2,0,0,0,20,38,0
35,0,76845,1,2,4,0,2,1,0,0,40,38,0
43,2,117037,3,2,13,0,4,1,0,1887,40,38,0
59,2,109015,5,0,12,4,4,0,0,0,40,38,0
56,1,216851,9,2,12,0,4,1,0,0,40,38,1
19,2,168294,5,4,2,3,4,1,0,0,40,38,0
39,2,367260,5,0,3,1,4,1,0,0,70,38,0
49,2,193366,5,2,2,0,4,1,0,0,40,38,0
23,1,190709,8,4,10,1,4,1,0,0,52,38,0
20,2,266015,6,4,11,3,2,1,0,0,44,38,0
45,2,386940,9,0,3,3,4,1,0,1408,40,38,0
30,0,59951,6,2,0,3,4,1,0,0,40,38,0
22,5,311512,6,2,7,0,2,1,0,0,15,38,0
48,2,242406,3,4,6,4,4,1,0,0,40,32,0
21,2,197200,6,4,6,3,4,1,0,0,40,38,0
